t,v,y
7.3645000000000005,-46.14493034148142,19.999442731854888
7.3646,-46.145353527207234,19.99482821766141
7.3647,-46.145776707643265,19.990213661149625
7.364800000000001,-46.14619988278957,19.98559906232006
7.3649000000000004,-46.14662305264621,19.980984421173243
7.365,-46.14704621721327,19.976369737709707
7.3651,-46.147469376490804,19.97175501192998
7.365200000000001,-46.14789253047888,19.967140243834585
7.3653,-46.148315679177564,19.96252543342406
7.3654,-46.14873882258692,19.957910580698925
7.3655,-46.14916196070702,19.953295685659718
7.365600000000001,-46.14958509353792,19.948680748306963
7.3657,-46.1500082210797,19.944065768641188
7.3658,-46.15043134333242,19.939450746662924
7.365900000000001,-46.150854460296145,19.9348356823727
7.3660000000000005,-46.15127757197094,19.930220575771042
7.3661,-46.15170067835687,19.925605426858482
7.3662,-46.152123779454,19.920990235635546
7.366300000000001,-46.1525468752624,19.916375002102768
7.3664000000000005,-46.15296996578214,19.911759726260673
7.3665,-46.15339305101328,19.90714440810979
7.3666,-46.15381613095589,19.90252904765065
7.366700000000001,-46.15423920561003,19.897913644883776
7.3668000000000005,-46.15466227497577,19.893298199809703
7.3669,-46.15508533905318,19.888682712428956
7.367,-46.15550839784232,19.88406718274207
7.367100000000001,-46.15593145134326,19.879451610749566
7.3672,-46.15635449955606,19.874835996451978
7.3673,-46.15677754248079,19.870220339849833
7.3674,-46.15720058011752,19.86560464094366
7.367500000000001,-46.15762361246631,19.860988899733986
7.3676,-46.15804663952723,19.85637311622134
7.3677,-46.158469661300344,19.851757290406255
7.367800000000001,-46.15889267778572,19.847141422289255
7.367900000000001,-46.159315688983426,19.84252551187087
7.368,-46.15973869489352,19.837909559151633
7.3681,-46.160161695516074,19.83329356413207
7.368200000000001,-46.16058469085115,19.828677526812708
7.3683000000000005,-46.16100768089883,19.824061447194076
7.3684,-46.161430665659154,19.819445325276703
7.3685,-46.161853645132204,19.81482916106112
7.368600000000001,-46.16227661931804,19.810212954547854
7.3687000000000005,-46.16269958821674,19.805596705737432
7.3688,-46.16312255182836,19.800980414630388
7.3689,-46.163545510152964,19.796364081227246
7.369000000000001,-46.16396846319063,19.791747705528536
7.3691,-46.164391410941406,19.787131287534784
7.3692,-46.164814353405376,19.782514827246523
7.3693,-46.165237290582596,19.777898324664278
7.369400000000001,-46.165660222473136,19.773281779788583
7.3695,-46.16608314907706,19.768665192619963
7.3696,-46.16650607039443,19.764048563158944
7.3697,-46.166928986425326,19.75943189140606
7.369800000000001,-46.167351897169794,19.754815177361834
7.3699,-46.16777480262792,19.750198421026802
7.37,-46.16819770279975,19.745581622401488
7.370100000000001,-46.16862059768537,19.74096478148642
7.3702000000000005,-46.16904348728483,19.736347898282126
7.3703,-46.169466371598205,19.731730972789137
7.3704,-46.16988925062556,19.72711400500798
7.370500000000001,-46.17031212436696,19.722496994939185
7.3706000000000005,-46.17073499282247,19.71787994258328
7.3707,-46.171157855992156,19.713262847940797
7.3708,-46.17158071387609,19.70864571101226
7.370900000000001,-46.17200356647433,19.704028531798198
7.371,-46.17242641378695,19.69941131029914
7.3711,-46.17284925581401,19.694794046515618
7.3712,-46.17327209255558,19.690176740448155
7.371300000000001,-46.17369492401172,19.685559392097282
7.3714,-46.1741177501825,19.680942001463528
7.3715,-46.17454057106799,19.67632456854742
7.3716,-46.17496338666825,19.67170709334949
7.371700000000001,-46.17538619698335,19.667089575870264
7.3718,-46.175809002013345,19.66247201611027
7.3719,-46.17623180175831,19.657854414070037
7.372000000000001,-46.17665459621832,19.653236769750094
7.3721000000000005,-46.17707738539343,19.64861908315097
7.3722,-46.17750016928371,19.64400135427319
7.3723,-46.17792294788922,19.639383583117286
7.372400000000001,-46.178345721210036,19.63476576968379
7.3725000000000005,-46.17876848924622,19.63014791397322
7.3726,-46.17919125199783,19.625530015986115
7.3727,-46.17961400946494,19.620912075723
7.372800000000001,-46.180036761647614,19.616294093184397
7.3729000000000005,-46.18045950854592,19.611676068370844
7.373,-46.180882250159925,19.607058001282866
7.3731,-46.18130498648969,19.60243989192099
7.373200000000001,-46.18172771753529,19.597821740285745
7.3733,-46.18215044329678,19.59320354637766
7.3734,-46.18257316377423,19.58858531019726
7.3735,-46.18299587896771,19.58396703174508
7.373600000000001,-46.18341858887728,19.57934871102164
7.3737,-46.18384129350301,19.57473034802748
7.3738,-46.18426399284496,19.570111942763116
7.373900000000001,-46.184686686903206,19.565493495229084
7.3740000000000006,-46.18510937567781,19.56087500542591
7.3741,-46.185532059168835,19.556256473354125
7.3742,-46.18595473737635,19.551637899014253
7.374300000000001,-46.18637741030042,19.547019282406826
7.3744000000000005,-46.186800077941115,19.54240062353237
